# Wavelength Flux
3.762270e+03 9.805566e-01
3.762284e+03 9.826222e-01
3.762299e+03 9.851887e-01
3.762314e+03 9.906921e-01
3.762328e+03 9.828057e-01
3.762343e+03 1.000400e+00
3.762358e+03 1.008456e+00
3.762372e+03 9.954109e-01
3.762387e+03 9.943482e-01
3.762402e+03 1.008802e+00
3.762416e+03 1.010752e+00
3.762431e+03 9.933733e-01
3.762446e+03 1.016695e+00
3.762460e+03 1.013389e+00
3.762475e+03 1.006045e+00
3.762490e+03 9.983959e-01
3.762504e+03 9.976624e-01
3.762519e+03 9.941522e-01
3.762533e+03 9.779893e-01
3.762548e+03 9.483978e-01
3.762563e+03 9.175038e-01
3.762577e+03 8.865975e-01
3.762592e+03 8.777285e-01
3.762607e+03 8.947862e-01
3.762621e+03 9.332448e-01
3.762636e+03 9.407975e-01
3.762651e+03 9.602812e-01
3.762665e+03 9.879043e-01
3.762680e+03 9.794738e-01
3.762694e+03 9.896783e-01
3.762709e+03 9.945831e-01
3.762724e+03 9.949352e-01
3.762738e+03 9.961937e-01
3.762753e+03 9.952277e-01
